Latin	English	Arabic	Chinese	Czech	Estonian	Finnish	French	German	Greek	Hebrew	Italian	Japanese	Korean	Marathi	Persian	Polish	Portugese	Russian	Spanish	Swedish	Turkish	Ukranian
constellatio	Constellation	كوكبة	星座	souhvězdí	Tähtkuju	Tähdistö	constellation	Sternbild	Αστερισμός	קבוצת כוכבים	costellazione	星座 (せいざ)	별자리	नक्षत्र	پیکر آسمانی	Konstelacja	constelação	созвездие	constelación	konstellation	Takımyıldız	сузір'я
Andromeda	Andromeda	المرأة المسلسلة	仙女座	Andromeda	Andromeeda	Andromeda	Andromède	Andromeda	Ανδρομέδα	אנדרומדה	Andromeda	アンドロメダ座	안드로메다자리	देवयानी	زن به زنجیر بسته	Andromeda	Andrômeda	Андромеда	Andrómeda	Andromeda	Andromeda	Андромеда
Antlia	Air Pump	مفرغة الهواء	唧筒座	Vývěva	Pump	Ilmapumppu	Machine Pneumatique	Luftpumpe	Αντλία	משאבה	Macchina Pneumatica	ポンプ座	공기펌프자리	वाताकर्षक	تلمبه	Pompa	Bomba de Ar	Насос	Máquina Neumática	Luftpumpen	Pompa	Насос
Apus	Bird of Paradise	طائر الفردوس	天燕座	Rajka	Paradiisilind	Paratiisilintu	Oiseau de Paradis	Paradiesvogel	Πτηνόν	ציפור גן עדן	Uccello del Paradiso	ふうちょう座	극락조자리	कपोत	مرغ بهشتی	Ptak Rasjki	Ave do Paraíso	Райская Птица	Ave del Paraíso	Paradisfågeln	Cennetkuşu	Райський Птах
Aquarius	Aquarius	الدلو	寶瓶座	Vodnář	Veevalaja	Vesimies	Verseau	Wassermann	Υδροχόος	דלי	Acquario	みずがめ座	물병자리	कुंभ	آب‌ریز	Wodnik	Aquário	Водолей	Acuario	Vattumannen	Kova	Водолій
Aquila	Eagle	العقاب	天鷹座	Orel	Kotkas	Kotka	Aigle	Adler	Αετός	נשר	Aquila	わし座	독수리자리	गरुड	شاهین	Orzeł	Águia	Орёл	Águila	Örnen	Kartal	Орел
Ara	Altar	المجمرة	天壇座	Oltář	Altar	Alttari	Autel	Altar	Βωμός	מזבח	Altare	さいだん座	제단자리	पीठ	آتش‌دان	Ołtarz	Altar	Жертвенник	Altar	Altaret	Sunak	Жертівник
Aries	Ram	الحمل	白羊座	Beran	Jäär	Oinas	Bélier	Widder	Κριός	טלה	Ariete	おひつじ座	양자리	मेष	بره	Baran	Áries	Овен	Carnero	Väduren	Koç	Овен
Auriga	Charioteer	ممسك الأعنة	御夫座	Vozka	Veomees	Ajomies	Cocher	Fuhrmann	Ηνίοχος	עגלון	Auriga	ぎょしゃ座	마차부자리	सारथी	ارّابه‌ران	Woźnica	Cocheiro	Возничий	Cochero	Kusken	Arabacı	Візничий
Bootes	Herdsman	العواء	牧夫座	Pastýř	Karjane	Karhunvartija	Bouvier	Bärenhüter	Βοώτης	רועה דובים	Boote	うしかい座	목동자리	भूतप	مَتراک	Wolarz	Pastor	Волопас	Boyero	Björnvaktaren	Çoban	Волопас
